PPv2 Leaderboard:
Rank | Name | Total PP | Top Play
113 | Fortnitegamer426#4623 | 6724.01950282241 | 277.61
114 | deroche#6319 | 6709.706324431969 | 352.75452
115 | EyeBrowse#6932 | 6690.471329783927 | 283.4849
116 | jivan108#4427 | 6620.007496780426 | 283.45895
117 | soword#5666 | 6614.4578566915825 | 276.09354
118 | wwwwwwww#2104 | 6604.645502891193 | 254.72792
119 | Epzilon#6528 | 6585.0510016797825 | 265.28842
120 | 333#3760 | 6583.566522142758 | 272.5307
121 | Excetra#8394 | 6581.358364379227 | 317.7367
122 | Ryanssd#1651 | 6572.709580273796 | 250.75108
123 | 6859#1122 | 6554.934075292775 | 241.71887
124 | Jean#0526 | 6551.998853951112 | 249.3591
125 | hyeriim#5620 | 6551.4499089563615 | 252.78075
126 | ph0t0shop#7957 | 6546.149928630051 | 233.22292
127 | Principle#1592 | 6530.683168052492 | 241.44308
128 | Jrboyz#0047 | 6528.1336772848745 | 277.97293
129 | eliserss#9698 | 6511.4508049683855 | 259.45303
130 | speedtyping#8479 | 6501.008219999671 | 276.40195
131 | ploo#7459 | 6500.106875592825 | 302.80923
132 | ice#1116 | 6492.927677908888 | 251.02518
133 | silicosis#4045 | 6492.425787213002 | 238.58705
134 | ginoo75#1762 | 6492.259063043525 | 287.66898
135 | Haru#4683 | 6479.530581573969 | 379.32114
136 | unmadeuser#0703 | 6446.118976022096 | 244.09631
137 | 232#4869 | 6428.804862334264 | 269.11746
138 | ethan#3630 | 6428.486445494604 | 248.11397
139 | figs#1354 | 6427.2230641206825 | 272.54886
140 | RainbowDude#6977 | 6399.719774108802 | 274.8879
141 | MarchalMaxim#2298 | 6395.162159111122 | 254.24629
142 | null#1991 | 6363.103774157739 | 259.20163
143 | t1#3989 | 6359.296986727672 | 246.06729
144 | yeetateen#7348 | 6348.188792409119 | 266.99075
145 | vsk is bad haha#4838 | 6336.681041566048 | 262.46835
146 | Jake#3381 | 6330.897696070753 | 249.63423
147 | Installed#4867 | 6329.811436101846 | 232.6383
148 | Word#2898 | 6324.954662181526 | 255.13731
149 | bummered#2263 | 6321.478355977815 | 276.9353
150 | Alireza#6734 | 6270.236508027543 | 225.13573
151 | TheStylishninja#5696 | 6263.090364002375 | 282.7267
152 | wy#0839 | 6251.666356423406 | 300.2074
153 | Strix#1264 | 6246.656399465018 | 234.6604
154 | chak#8878 | 6208.096827619584 | 409.30936
155 | ohKyle#0695 | 6204.164169281264 | 261.87018
156 | Andrew#6499 | 6203.571085637719 | 268.2073
157 | Javapathy#7575 | 6182.036311156481 | 272.5542
158 | Tom#7166 | 6173.29763519661 | 247.72128
159 | Deteriorating#5006 | 6169.394997164926 | 260.8434
160 | WyZard#1497 | 6136.840087310728 | 243.19011
161 | Jason#6474 | 6136.005521829853 | 280.50723
162 | kazooh#3786 | 6129.610227420262 | 239.703
163 | TMeejer#7049 | 6123.079227917212 | 236.25607
164 | melikepi#7348 | 6105.717238357223 | 360.76343
165 | Former#5586 | 6081.985650176888 | 231.00258
166 | Jave#9371 | 6077.791238801672 | 222.41447
167 | Karthik#9156 | 6061.401776343788 | 258.4564
168 | Veirt#6016 | 6044.721643140671 | 230.95601
169 | Coleslaw#1337 | 6035.906592576956 | 233.68631
170 | Provid#8373 | 6028.504916751146 | 245.6044
